company_file;inn_file;industry_file;inn_smi_publications;inn_company_main_cards;open_orgs_checker;ОГРН;ИНН;КПП;ОКПО;Полное наименование;Прежние наименования;Другие наименования;На английском;Адрес;Телефон;Web;ОКОПФ;Отрасль;Руководитель;E-mail;Соцсети;Управляющая компания;Бенефициар
«Автотор»;3905011678;машиностроение;3905011678;3905011678;1.0;1023900765580;3905011678;390601001;35400977;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОТОР""";;"АО ""АВТОТОР""";"AO ""AVTOTOR""";236013, Калининградская обл., г. Калининград, ул. Магнитогорская, д. 4 литера А, 1-ЭТАЖ каб. 129На карте ;+7 (495) 6244891 ;www.avtotor.ru  ;Непубличные акционерные общества;Производство легковых автомобилей;Земский Олег Викторович, Садыков Руслан Назидинович;avtotor@kld.avtotor.ru  ;;;
«МТ Руссия»;7701716677;инжиниринг, промышленно-инфраструктурное строительство;7701716677;7701716677;1.0;5077746557972;7701716677;770301001;80760601;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МТ РУССИЯ""";ТЕКНИМОНТ РУССИЯ, ООО;"ООО ""МТ РУССИЯ""";"OOO ""MT RUSSIYA""";123112, г. Москва, набережная Пресненская, д. 10 этаж 25 пом. I ком. 13 · Бизнес-центр «Naberezhnaya Tower»На карте ;+7 (495) 2311255 ;tecnimont.ru   · 1 домен;Общества с ограниченной ответственностью;Подготовка строительной площадки;Евреинов Семен Игоревич · генеральный директор;a.selezneva@tecnimont.ru  ;;;
«Нокиан Шина»;7704244246;оптовая торговля;7704244246;7704244246;1.0;1027704002842;7704244246;770401001;58739589;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОКИАН ШИНА""";;"ООО ""НОКИАН ШИНА""";"LIMITED LIABILITY COMPANY ""NOKIAN SHINA""";119002, г. Москва, пер. Глазовский, д. 7 кв. 7На карте ;+7 (495) 6265651 ;;Общества с ограниченной ответственностью;"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек";Пантюхов Андрей Геннадьевич · генеральный директор;;;;
«Метинвест Евразия»;7731585968;оптовая торговля;7731585968;7731585968;1.0;1087746192500;7731585968;772501001;84802391;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТИНВЕСТ ЕВРАЗИЯ""";;"ООО ""МЕТИНВЕСТ ЕВРАЗИЯ""";"LIMITED LIABILITY COMPANY ""METINVEST EURASIA""";115419, г. Москва, вн.тер.г. муниципальный округ Донской, ул Вавилова, д. 1На карте ;+7 (495) 7392626 ·  Открытые данные ;www.metinvest-eurasia.com  ;Общества с ограниченной ответственностью;Торговля оптовая черными металлами в первичных формах;Смирнов Андрей Викторович · генеральный директор;tatyana.nizhnik@metinvest-eurasia.com  ;;;
ГМС, группа;7708678325;машиностроение;7708678325;7708678325;1.0;5087746036483;7708678325;771001001;72718329;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ГМС""";ГРУППА ГМС, ОАО ;"АО ""ГРУППА ГМС""";HMS Group, JSC;125047, г. Москва, ул. Чаянова, д. 7На карте ;+7 (495) 7306602 ;www.hms.ru   · 2 домена;Непубличные акционерные общества;Деятельность холдинговых компаний;Молчанов Артем Владимирович · президент;voronina@hms.ru  ;;;
«Зара СНГ» (сеть магазинов);7717582404;розничная торговля;7717582404;7717582404;1.0;1077746704078;7717582404;770301001;99592276;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАРА ХОМ СНГ""";;"ООО ""ЗАРА ХОМ СНГ""";"""ZARA HOME CIS"" LIMITED LIABILITY COMPANY";123112, г. Москва, набережная Пресненская, д. 10 · Бизнес-центр «Naberezhnaya Tower»На карте ;+7 (495) 6431353 ;www.inditex.com  ;Общества с ограниченной ответственностью;Торговля розничная прочими бытовыми изделиями в специализированных магазинах;Соколова Вероника Юрьевна · ликвидатор;pr-assistant@ru.inditex.com  ;;;
«Петро»;7834005168;табачная промышленность;7834005168;7834005168;1.0;1037819010129;7834005168;780701001;00342953;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРО""";;"ООО ""ПЕТРО""";"LIMITED LIABILITY COMPANY ""PETRO""";198206, г. Санкт-Петербург, шоссе Петергофское, д. 71На карте ;+7 (812) 3323800 ;www.jti.com   · 3 домена;Общества с ограниченной ответственностью;Производство табачных изделий;Купреев Павел Викторович · генеральный директор;info@jti.com  ;;;
«Центральная ППК»;7705705370;транспорт и логистика;7705705370;7705705370;1.0;1057749440781;7705705370;770501001;93265553;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ПРИГОРОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""";ЦЕНТРАЛЬНАЯ ППК, ОАО;"АО ""ЦЕНТРАЛЬНАЯ ППК""";"JOINT STOCK COMPANY ""CENTRAL EXURBAN PASSENGER COMPANY"" JSCO ""CENTRAL EPC""";115054, г. Москва, пл. Павелецкая, д. 1АНа карте ;+7 (495) 5877889 ;www.central-ppk.ru/new/  ;Непубличные акционерные общества;Перевозка пассажиров железнодорожным транспортом в пригородном сообщении;Конев Иван Валерьевич · генеральный директор;cppk@inbox.ru  ;vk.com/centralppk  ;;
Россети Кубань;2309001660;электроэнергетика;2309001660;2309001660;1.0;1022301427268;2309001660;230901001;00104604;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ КУБАНЬ""";КУБАНЬЭНЕРГО, ПАО ;"ПАО ""РОССЕТИ КУБАНЬ""";"PAO ""ROSSETI KUBAN""";350033, Краснодарский кр., г. Краснодар, ул. Ставропольская, д. 2АНа карте ;+7 (495) 9955333 ;rosseti-kuban.ru/   · 11 доменов;Публичные акционерные общества;Передача электроэнергии и технологическое присоединение к распределительным электросетям;Эбзеев Борис Борисович · исполняющий обязанности генерального директора;886173981@mail.ru  ;youtube.com/channel/ucd0os3lsklykisrhnecmeda  ;;
«ТС Командор» (сеть супермаркетов «Командор»);2465008567;розничная торговля;2465008567;2465008567;1.0;1022402479505;2465008567;246401001;21888751;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВАЯ СЕТЬ КОМАНДОР""";ЭЛИТА-98, ООО;"ООО ""ТС КОМАНДОР""";Komandor Trading Network, Limited Liability Company;660064, Красноярский кр., г. Красноярск, ул. Академика Вавилова, д. 1 стр. 51/1На карте ;+7 (391) 2524555 ;sm-komandor.ru  ;Общества с ограниченной ответственностью;Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах;Шернек Хельмар · генеральный директор;komandor-promo@sm-komandor.ru  ;;;
«Солнцевский угольный разрез»;7706277053;угольная промышленность;7706277053;7706277053;1.0;1027706006195;7706277053;650801001;58741669;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЛНЦЕВСКИЙ УГОЛЬНЫЙ РАЗРЕЗ""";САХАЛИНУГОЛЬ-2, ООО;"ООО ""СУР""";Solntsevsky Coal Mine LLC;694910, Сахалинская обл., Углегорский район, пгт. Шахтерск, ул. Ленина, д. 16АНа карте ;+7 (42432) 31995 ;www.eastmining.ru  ;Общества с ограниченной ответственностью;Добыча бурого угля (лигнита) открытым способом;;su2@mcsu.ru  ;;ВГК, ООО;
«Фармперспектива»;4028069779;оптовая торговля;4028069779;4028069779;1.0;1194027014026;4028069779;402801001;42933208;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМПЕРСПЕКТИВА""";ФАРМПЕРСПЕКТИВА, ООО;"АО ""ФАРМПЕРСПЕКТИВА""";"AO ""FARMPERSPEKTIVA""";248030, Калужская обл., г. Калуга, ул. Труда, д. 30А ком. 7На карте ;+7 (3012) 201021 ·  Открытые данные ;pharmperspectiva.ru   · 12 доменов;Непубличные акционерные общества;Торговля оптовая фармацевтической продукцией;Сенцов Михаил Федорович · генеральный директор;;;;
«Сибирская горно-металлургическая компания»;4217204769;оптовая торговля;4217204769;4217204769;1.0;1224200004379;4217204769;421701001;75944718;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";СГМК-ТРЕЙД, ООО;"АО ""СГМК""";SGMK;654041, Кемеровская область - Кузбасс, г.о. Новокузнецкий, г Новокузнецк, р-н Центральный, ул Кутузова, д. 37А, этаж 4, помещ. 406На карте ;+7 (3843) 749039 ·  Открытые данные ;10 доменов;Непубличные акционерные общества;Торговля оптовая отходами и ломом;Краев Денис Александрович · генеральный директор;info@sgmk-group.ru  ;;;
«Трейд-сервис»;3328434156;оптовая торговля;3328434156;3328434156;1.0;1043302019089;3328434156;332801001;75632344;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕЙД-СЕРВИС""";МАРКЕТИНГ-СБЫТ-СЕРВИС, ООО;"ООО ""ТРЕЙД-СЕРВИС""";"OOO ""TREID-SERVIS""";600009, Владимирская обл., г. Владимир, ул. Полины Осипенко, д. 41 офис 326На карте ;+7 (492) 2353574 ;;Общества с ограниченной ответственностью;Торговля оптовая продуктами из мяса и мяса птицы;;olga.ignateva@abiproduct.ru  ;;АБИ ПРОДАКТ, АО;
«Басф»;7706800837;оптовая торговля;7706800837;7706800837;1.0;1137746899806;7706800837;771401001;29034994;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСФ""";БАСФ, АО;"ООО ""БАСФ""";"OOO ""BASF""";125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, пр-кт Ленинградский, д. 37А, к. 4, этаж/помещ./ком. 4/XVI/45 · Бизнес-центр ARCUS III (АРКУС III)На карте ;+7 (495) 9569170 ;www.basf.com   · 1 домен;Общества с ограниченной ответственностью;Торговля оптовая удобрениями и агрохимическими продуктами;Большаков Алексей Евгеньевич · генеральный директор;info.russia@basf.com  ;;;
«ГАЗФОНД», группа;7726445147;негосударственный пенсионный фонд;7726445147;7726445147;1.0;1187700022454;7726445147;772601001;35094345;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД ГАЗФОНД""";ГАЗФОНД, НПФ ;"АО ""НПФ ГАЗФОНД""";"AO ""NPF GAZFOND""";117556, г. Москва, бульвар Симферопольский, д. 13На карте ;+7 (495) 5029002 ;www.gazfond.ru   · 1 домен;Непубличные акционерные общества;Деятельность негосударственных пенсионных фондов;Шамалов Юрий Николаевич · президент фонда;v.potekhina@gazfond.ru  ;;;
«Сладкая жизнь плюс»;5258054000;оптовая торговля;5258054000;5258054000;1.0;1055233034845;5258054000;525801001;75685955;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛАДКАЯ ЖИЗНЬ ПЛЮС""";СЛАДКАЯ ЖИЗНЬ, ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВЫЙ ДОМ;"ООО ""СЛАДКАЯ ЖИЗНЬ ПЛЮС""";"OOO ""SLADKAYA ZHIZN PLYUS""";603058, Нижегородская обл., г. Нижний Новгород, ул. Героя Попова, д. 43В офис 4На карте ;+7 (831) 2578001 ;swnn.ru   · 4 домена;Общества с ограниченной ответственностью;Торговля оптовая пищевыми продуктами, напитками и табачными изделиями;Шитов Дмитрий Александрович · генеральный директор;office@swlife.nnov.ru  ;;;Гусев Альберт Геннадьевич
«Концерн Титан-2»;7827004484;строительство;7827004484;7827004484;1.0;1027812403035;7827004484;770301001;39446806;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ТИТАН-2""";ТИТАН-2, АО;"АО ""КОНЦЕРН ТИТАН-2""";"AO ""KONTSERN TITAN-2""";123112, г. Москва, набережная Пресненская, д. 12 этаж 51 пом. III ком. 1 · Многофункциональный комплекс «Башня Федерация»На карте ;+7 (495) 7716011 ;www.titan2.ru/children/zao-titan2/   · 3 домена;Непубличные акционерные общества;Строительство электростанций;Нагинский Григорий Михайлович · генеральный директор;e.klink@titan2.ru  ;;;
«Квадра»;6829012680;электроэнергетика;6829012680;6829012680;1.0;1056882304489;6829012680;770601001;71259492;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КВАДРА-ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";КВАДРА, ПАО ;"АО ""КВАДРА""";"JSC ""Quadra - Power Generation""";119017, г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Ордынка, д. 40, стр. 1На карте ;+7 (411) 2395501 ;www.lipetsk.quadra.ru/   · 12 доменов;Акционерные общества;Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями;Сухотина Ксения Анатольевна · генеральный директор;2449258@yandex.ru  ;;;
«Кама», торговый дом;1651024807;оптовая торговля;1651024807;1651024807;1.0;1021602510533;1651024807;165101001;47073130;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""КАМА""";;"ООО ""ТД ""КАМА""";"""TH ""KAMA"" OOO (LLC)";423570, Татарстан Респ, м.р-н Нижнекамский, г.п. город Нижнекамск, г Нижнекамск, тер. Промзона, д. 26, офис 402На карте ;+7 (85552) 41028 ;www.td-kama.com   · 6 доменов;Общества с ограниченной ответственностью;Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов;;kama@ya.ru  ;;ТАТШИНА, ООО;
«Рестор»;7709678550;розничная торговля;7709678550;7709678550;1.0;1067746613065;7709678550;773401001;95557938;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТОР""";;"ООО ""РЕСТОР""";reStore LLC;123290, г. Москва, вн.тер.г. муниципальный округ Хорошево-Мневники, проезд Причальный, д. 2, помещ. XIX 4 ЭТАЖ, ком. 16На карте ;+7 (495) 6516291 ;www.re-store.ru   · 94 домена;Общества с ограниченной ответственностью;Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах;Шубин Алексей Евгеньевич · генеральный директор;b2b@re-store.ru  ;;;
«Содружество-Соя» (ЗАО);3913009739;агропромышленный комплекс;3913009739;3913009739;1.0;1053909026830;3913009739;391301001;15323453;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОДРУЖЕСТВО-СОЯ""";;"ЗАО ""СОДРУЖЕСТВО-СОЯ""";"CLOSE JSC ""SODRUGESTVO-SOY""";238340, Калининградская обл., г. Светлый, ул. Гагарина, д. 65На карте ;+7 (401) 2305544 ;www.sodrugestvo.ru  ;Непубличные акционерные общества;Производство нерафинированных растительных масел и их фракций;;i.mlynarchik@sodru.com  ;;СОДРУЖЕСТВО, ООО УК;
«Компания Сим-Авто»;7729588182;розничная торговля;7729588182;7729588182;1.0;1077762707626;7729588182;774301001;84026016;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ СИМ-АВТО""";;"ООО ""КОМПАНИЯ СИМ-АВТО""";"LIMITED LIABILITY COMPANY ""COMPANY SIM-AUTO""";125130, г. Москва, вн.тер.г. муниципальный округ Войковский, ул Выборгская, д. 22, стр. 3, этаж 2, ком. 40На карте ;+7 (3652) 673600 ;rbauto.ru · Данные компании   · 114 доменов;Общества с ограниченной ответственностью;Торговля прочими автотранспортными средствами;Бычков Владимир Владимирович · генеральный директор;1002825@rbauto.ru  ;vk.com/rusbusinessauto  ;;
«Свинокомплекс Короча»;3110009570;агропромышленный комплекс;3110009570;3110009570;1.0;1063120007477;3110009570;311001001;93150011;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВИНОКОМПЛЕКС КОРОЧА""";;"ЗАО ""СК КОРОЧА""";"ZAO ""SK KOROCHA""";309220, Белгородская обл., Корочанский район, тер. Зао Ск КорочаНа карте ;+7 (472) 2586400 ;www.miratorg.ru  ;Непубличные акционерные общества;Разведение свиней;Бершакова Марина Николаевна · генеральный директор;a.kurganova@mcskk.ru  ;;;
«Мазда Мотор Рус»;7743580770;оптовая торговля;7743580770;7743580770;1.0;1057749650012;7743580770;774301001;79521363;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЗДА МОТОР РУС""";;"ООО ""МАЗДА МОТОР РУС""";LIMITED LIABILITY COMPANY MAZDA MOTOR RUS;125171, г. Москва, шоссе Ленинградское, д. 16А стр. 2На карте ;+7 (495) 5892480 ;www.mazda.ru   · 20 доменов;Общества с ограниченной ответственностью;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Глазков Андрей Геннадьевич · генеральный директор;;;;
«КОМОС ГРУПП», агрохолдинг;1831089218;агропромышленный комплекс;1831089218;1831089218;1.0;1031800558679;1831089218;771501001;59418628;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМОС ГРУПП""";ТРЕЙДИНГОВАЯ КОМПАНИЯ УДМУРТНЕФТЕПРОДУКТ, ООО ;"ООО ""КОМОС ГРУПП""";"OOO ""KOMOS GRUPP""";127015, г. Москва, ул. Новодмитровская, д. 2 к. 1 пом. XLI ком. 1 этаж 5 · Бизнес Центр Савёловский Сити (Goodman (Гудмен))На карте ;+7 (341) 2905100 ;www.komos.ru   · 12 доменов;Общества с ограниченной ответственностью;Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных;Шутов Андрей Васильевич · управляющий - индивидуальный  предприниматель;dpm@komos.ru  ;;;
«Чери Автомобили Рус»;7743578549;розничная торговля;7743578549;7743578549;1.0;1057749370964;7743578549;774301001;79411605;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕРИ АВТОМОБИЛИ РУС""";;"АО ""ЧЕРИ АВТОМОБИЛИ РУС""";"AO ""CHERI AVTOMOBILI RUS""";125171, г. Москва, вн.тер.г. муниципальный округ Войковский, ш Ленинградское, д. 16А, стр. 2На карте ;+7 (495) 7976393 ;www.chery.ru   · 69 доменов;Непубличные акционерные общества;Торговля автотранспортными средствами;Шмаков Владимир Анатольевич · генеральный директор;cheryauto@chery.ru  ;;;
«Бристоль ритейл логистикс»;5003116490;оптовая торговля;5003116490;5003116490;1.0;1155003004408;5003116490;500301001;11777683;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИСТОЛЬ РИТЕЙЛ ЛОГИСТИКС""";;"ООО ""БРЛ""";"OOO ""BRL""";142701, Московская обл., г. Видное, ул. Ольховая, д. 9 пом. 11На карте ;+7 (495) 2300629 ;;Общества с ограниченной ответственностью;Торговля оптовая напитками;Сарана Александр Владимирович · генеральный директор;;;;
«Картли»;1655202105;оптовая торговля;1655202105;1655202105;1.0;1101690059525;1655202105;165501001;68730129;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРТЛИ""";;"ООО ""КАРТЛИ""";"OOO ""KARTLI""";420107, Татарстан респ., г. Казань, ул. Спартаковская, д. 6 офис 1209 · Торгово-развлекательный центр «Сувар Плаза»На карте ;+7 (8432) 122626 ;www.kartli.ch   · 3 домена;Общества с ограниченной ответственностью;Торговля оптовая промышленными химикатами;Шакирова Лейсан Рустамовна · директор;glavbuh@kartli.ru  ;;;
«Уралэлектромедь»;6606003385;цветная металлургия;6606003385;6606003385;1.0;1026600726657;6606003385;668601001;00194429;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЭЛЕКТРОМЕДЬ""";УРАЛЭЛЕКТРОМЕДЬ, ОАО ;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";URALELEKTROMED JSC;624091, Свердловская обл., г. Верхняя Пышма, проспект Успенский, д. 1На карте ;+7 (343) 3794070 ;www.elem.ru   · 4 домена;Непубличные акционерные общества;Производство меди;;aouraiem@elem.ru  ;;УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ , ОАО УГМК, ОАО;
«Холдинг Кабельный Альянс»;6658388288;машиностроение;6658388288;6658388288;1.0;1116658014032;6658388288;665801001;92913398;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЛДИНГ КАБЕЛЬНЫЙ АЛЬЯНС""";;"ООО ""ХКА""";"""CABLE ALLIANCE HOLDING"" CORPORATION";620028, Свердловская обл., г. Екатеринбург, ул. Мельникова, д. 2На карте ;+7 (343) 2478002 ;www.holdcable.com   · 6 доменов;Общества с ограниченной ответственностью;Консультирование по вопросам коммерческой деятельности и управления;;sb273@holdcable.com  ;;УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ , ОАО УГМК, ОАО;
«Продимекс»;7730710905;оптовая торговля;7730710905;7730710905;1.0;1147746895295;7730710905;773001001;35247622;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОДИМЕКС""";ПРОДИМЕКС-АССЕТ, ООО;"ООО ""ПРОДИМЕКС""";"OOO ""PRODIMEKS""";121170, г. Москва, ул. Кульнева, д. 3 стр. 1 ком. 38 · Бизнес-центр «Бородинский»На карте ;+7 (495) 9334400 ;prodimex.ru   · 14 доменов;Общества с ограниченной ответственностью;Торговля оптовая сахаром;Алексахин Виктор Владиславович · генеральный директор;novikov@prodimex.ru  ;;;
«Л'Ореаль»;7726059896;парфюмерия и косметика;7726059896;7726059896;1.0;1027700054986;7726059896;770601001;17112921;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Л'ОРЕАЛЬ""";;"АО ""Л'ОРЕАЛЬ""";"AO ""L'OREAL""";119180, г. Москва, пер. 4-Й Голутвинский, д. 1/8 стр. 1-2На карте ;+7 (495) 2583185 ;www.loreal.com/ru-ru/russia/   · 2 домена;Непубличные акционерные общества;Торговля оптовая парфюмерными и косметическими товарами;Батурин Сергей Владимирович · генеральный директор;del@proexpert.me  ;twitter.com/@loreal  ;;
«Камелот-А» (сеть супермаркетов «Ярче»);7017187800;розничная торговля;7017187800;7017187800;1.0;1077017026580;7017187800;701701001;80077293;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЕЛОТ-А""";;"ООО ""КАМЕЛОТ-А""";"""CAMELOT-A""LLC";634057, Томская обл., г. Томск, проспект Мира, д. 20На карте ;+7 (382) 2706745 ·  Открытые данные ;узнайярче.рф/   · 31 домен;Общества с ограниченной ответственностью;Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах;Фоминцев Александр Геннадьевич · генеральный директор;o.lihacheva@ya-retail.ru  ;;;
«ЕКС» группа компаний;5012000639;инжиниринг, промышленно-инфраструктурное строительство;5012000639;5012000639;1.0;1025001549286;5012000639;760401001;05355958;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА КОМПАНИЙ ""ЕКС""";СПЕЦРЕМЭНЕРГО, АО ;"АО ""ГК ""ЕКС""";"AO ""GK ""EKS""";150001, Ярославская обл., г. Ярославль, ул. Большая Федоровская, д. 63 пом. 1-6,8,9На карте ;+7 (495) 6044044 ;aoeks.ru   · 3 домена;Непубличные акционерные общества;Строительство жилых и нежилых зданий;Власов Алексей Евгеньевич · генеральный директор;a.usacheva@aoeks.ru  ;;;Власов Алексей Евгеньевич
«Объединенная транспортно-логистическая компания - Евразийский железнодорожный альянс»;9701104646;транспорт и логистика;9701104646;9701104646;1.0;1187746369590;9701104646;770101001;28117867;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ТРАНСПОРТНО-ЛОГИСТИЧЕСКАЯ КОМПАНИЯ - ЕВРАЗИЙСКИЙ ЖЕЛЕЗНОДОРОЖНЫЙ АЛЬЯНС""";;"АО ""ОТЛК ЕРА""";United Transport and Logistics Company – Eurasian Rail Alliance, JSC;107078, г. Москва, ул. Садовая-Черногрязская, д. 8 стр. 7 · Бизнес-квартал «Юсупов Двор»На карте ;+7 (495) 9959591 ;www.utlc.com  ;Непубличные акционерные общества;Деятельность вспомогательная прочая, связанная с перевозками;Гром Алексей Николаевич · генеральный директор;utlc@utlc.com  ;;;
Россети Волга;6450925977;электроэнергетика;6450925977;6450925977;1.0;1076450006280;6450925977;645001001;96956370;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ВОЛГА""";МРСК ВОЛГИ, ПАО ;"ПАО ""РОССЕТИ ВОЛГА""";"PAO ""ROSSETI VOLGA""";410031, Саратовская обл., г. Саратов, ул. Первомайская, д. 42/44На карте ;+7 (800) 2200220 ;www.mrsk-volgi.ru/   · 9 доменов;Публичные акционерные общества;Передача электроэнергии и технологическое присоединение к распределительным электросетям;Гаврилов Александр Ильич · генеральный директор;chancery@zes.orene.ru  ;;;
«Азот», Кемеровское АО;4205000908;химическая и нефтехимическая промышленность;4205000908;4205000908;1.0;1024200705077;4205000908;420501001;05761637;"КЕМЕРОВСКОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЗОТ""";АЗОТ, ПАО;"КАО ""АЗОТ""";Kemerovo Joint Stock Company Azot;650021, Кемеровская область - Кузбасс, г. Кемерово, ул. Грузовая стр. 1На карте ;+7 (384) 2571644 ;www.azot.kuzbass.net   · 10 доменов;Непубличные акционерные общества;Производство удобрений и азотных соединений;Вишневский Андрей Николаевич · генеральный директор;bsv7@azot.kuzbass.net  ;;;
«Модум-Транс»;6623074298;транспорт и логистика;6623074298;6623074298;1.0;1106623007700;6623074298;770601001;69546824;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОДУМ-ТРАНС""";УВЗ-ЛОГИСТИК, ООО;"ООО ""МОДУМ-ТРАНС""";"OOO ""MODUM-TRANS""";119180, г. Москва, набережная Якиманская, д. 4 стр. 1 · Бизнес-квартал «Голутвинская Слобода»На карте ;+7 (495) 3800853 ;4 домена;Общества с ограниченной ответственностью;Деятельность железнодорожного транспорта: грузовые перевозки;Артяков Дмитрий Владимирович · генеральный директор;hr@modumtrans.ru  ;;;
«УМК-Сталь»;6606021264;цветная металлургия;6606021264;6606021264;1.0;1056600304683;6606021264;668601001;78602148;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ - СТАЛЬ""";УГМК-СТАЛЬ, ООО;"ООО ""УМК-СТАЛЬ""";"LLC ""MMC - STEEL""";624091, Свердловская обл, г.о. Верхняя Пышма, г Верхняя Пышма, пр-кт Успенский, зд. 1, к. 1, офис 407На карте ;+7 (34368) 98090 ;steel.ugmk.com   · 5 доменов;Общества с ограниченной ответственностью;Производство сортового горячекатаного проката и катанки;Шрейдер Алексей Васильевич · генеральный директор;butakov@steel.ugmk.com  ;;;
